,Country Name,Control of Corruption: Estimate,Multilateral debt service (% of public and publicly guaranteed debt service),"Access to clean fuels and technologies for cooking, rural (% of rural population)","Access to clean fuels and technologies for cooking, urban (% of urban population)",Access to clean fuels and technologies for cooking (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Access to electricity (% of population),Compensation of employees (current LCU),Compensation of employees (% of expense),Adjusted savings: education expenditure (current US$),Adjusted net national income per capita (current US$),Terms of trade adjustment (constant LCU),Adequacy of social protection and labor programs (% of total welfare of beneficiary households),Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),Adequacy of social safety net programs (% of total welfare of beneficiary households),Adequacy of social insurance programs (% of total welfare of beneficiary households),Political Stability and Absence of Violence/Terrorism: Estimate,"Literacy rate, youth female (% of females ages 15-24)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, youth total (% of people ages 15-24)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)","Compulsory education, duration (years)","Children out of school, primary","Children out of school, primary, female","Children out of school, female (% of female primary school age)","Children out of school, primary, male","Children out of school, male (% of male primary school age)",Children out of school (% of primary school age),"Adolescents out of school, female (% of female lower secondary school age)","Adolescents out of school, male (% of male lower secondary school age)",Adolescents out of school (% of lower secondary school age),Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),People using at least basic drinking water services (% of population),People using safely managed drinking water services (% of population),"Community health workers (per 1,000 people)",Pregnant women receiving prenatal care (%),People using at least basic sanitation services (% of population),Births attended by skilled health staff (% of total),Current health expenditure (% of GDP),Current health expenditure per capita (current US$),Proportion of people living below 50 percent of median income (%),Multidimensional poverty headcount ratio (UNDP) (% of population),Multidimensional poverty headcount ratio (World Bank) (% of population),"Employers, female (% of female employment) (modeled ILO estimate)","Employers, male (% of male employment) (modeled ILO estimate)","Employers, total (% of total employment) (modeled ILO estimate)","Wage and salaried workers, female (% of female employment) (modeled ILO estimate)","Wage and salaried workers, male (% of male employment) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Children in employment, study and work, female (% of female children in employment, ages 7-14)","Children in employment, study and work, male (% of male children in employment, ages 7-14)","Children in employment, study and work (% of children in employment, ages 7-14)","Children in employment, work only, female (% of female children in employment, ages 7-14)","Children in employment, work only, male (% of male children in employment, ages 7-14)","Children in employment, work only (% of children in employment, ages 7-14)","Children in employment, total (% of children ages 7-14)",Unemployment with advanced education (% of total labor force with advanced education),Unemployment with basic education (% of total labor force with basic education),Unemployment with intermediate education (% of total labor force with intermediate education),"Unemployment, total (% of total labor force) (national estimate)","Children in employment, wage workers, female (% of female children in employment, ages 7-14)","Children in employment, wage workers, male (% of male children in employment, ages 7-14)","Children in employment, wage workers (% of children in employment, ages 7-14)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Wanted fertility rate (births per woman),Women who were first married by age 15 (% of women ages 20-24),Women who were first married by age 18 (% of women ages 20-24),Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)",Urban population (% of total population)
0,Afghanistan,195.91666666666666,132.75,180.83333333333334,162.75,182.125,195.29166666666666,189.54166666666666,201.5,60.666666666666664,85.54166666666667,118.08333333333333,212.375,43.5,60.125,,9.333333333333334,89.16666666666667,202.54166666666666,198.875,202.29166666666666,188.29166666666666,194.95833333333334,199.04166666666666,193.83333333333334,195.625,151.04166666666666,,,,,,,,,,22.625,161.25,175.83333333333334,238.25,149.70833333333334,,197.41666666666666,215.45833333333334,236.29166666666666,20.75,199.33333333333334,,93.0,,206.41666666666666,210.41666666666666,204.54166666666666,231.16666666666666,230.25,226.75,9.25,15.208333333333334,15.833333333333334,88.75,82.79166666666667,82.16666666666667,35.041666666666664,151.91666666666666,107.95833333333333,147.04166666666666,80.58333333333333,62.458333333333336,70.0,71.125,237.29166666666666,55.666666666666664,109.04166666666667,112.70833333333333,26.291666666666668,257.7083333333333,17.583333333333332,258.5416666666667,242.95833333333334
1,Africa Eastern and Southern,,,181.54166666666666,186.16666666666666,186.91666666666666,226.20833333333334,237.20833333333334,238.54166666666666,,50.541666666666664,,178.95833333333334,,,,,,,159.41666666666666,148.20833333333334,164.54166666666666,160.54166666666666,149.25,153.79166666666666,151.75,207.5,,,,,,,,,,,133.70833333333334,93.95833333333333,248.5,,,162.83333333333334,234.95833333333334,216.29166666666666,105.375,167.33333333333334,,,,140.91666666666666,154.16666666666666,157.91666666666666,186.875,194.45833333333334,192.70833333333334,,,,,,,,,,,,,,,232.95833333333334,,,,,233.79166666666666,42.333333333333336,232.0,218.25
2,Africa Western and Central,,,201.91666666666666,202.54166666666666,200.66666666666666,220.625,216.66666666666666,218.125,,58.625,,175.33333333333334,,,,,,,186.625,183.375,184.25,185.91666666666666,178.29166666666666,180.0,179.41666666666666,108.04166666666667,,,,,,,,,,44.958333333333336,142.91666666666666,94.125,222.45833333333334,147.58333333333334,49.125,180.66666666666666,228.875,220.70833333333334,195.45833333333334,188.04166666666666,,,,157.54166666666666,185.125,183.25,209.70833333333334,216.54166666666666,214.70833333333334,,,,,,,,188.16666666666666,89.79166666666667,157.875,83.79166666666667,,,,246.33333333333334,70.54166666666667,,,50.833333333333336,241.29166666666666,47.708333333333336,241.54166666666666,184.91666666666666
3,Albania,141.875,76.16666666666667,127.54166666666667,132.41666666666666,131.33333333333334,21.875,81.41666666666667,55.041666666666664,64.875,78.33333333333333,126.16666666666667,120.04166666666667,96.54166666666667,33.875,11.541666666666666,45.125,32.291666666666664,113.04166666666667,52.583333333333336,63.375,53.0,49.958333333333336,46.541666666666664,41.083333333333336,43.5,152.41666666666666,55.75,63.083333333333336,72.16666666666667,24.25,17.916666666666668,57.125,60.166666666666664,29.833333333333332,56.75,13.916666666666666,181.70833333333334,89.625,144.66666666666666,102.875,,85.91666666666667,67.66666666666667,64.20833333333333,95.41666666666667,122.25,38.916666666666664,15.0,27.666666666666668,172.25,119.375,134.58333333333334,150.91666666666666,164.95833333333334,158.875,50.458333333333336,56.083333333333336,63.791666666666664,47.541666666666664,41.916666666666664,34.208333333333336,41.0,140.95833333333334,125.25,156.29166666666666,200.20833333333334,5.166666666666667,17.625,10.958333333333334,60.875,2.0833333333333335,23.375,39.875,2.25,87.5,200.0,78.5,144.45833333333334
4,Algeria,142.20833333333334,27.791666666666668,71.625,52.5,70.54166666666667,120.25,95.875,104.625,,,47.625,129.875,99.95833333333333,,,,,177.04166666666666,131.16666666666666,108.16666666666667,125.79166666666667,130.54166666666666,137.04166666666666,132.29166666666666,134.75,62.0,104.29166666666667,118.08333333333333,47.041666666666664,92.16666666666667,20.666666666666668,38.625,47.416666666666664,42.875,57.083333333333336,,,35.333333333333336,140.04166666666666,89.08333333333333,,116.91666666666667,129.95833333333334,115.08333333333333,146.79166666666666,135.66666666666666,19.25,23.0,,101.75,84.83333333333333,56.416666666666664,90.875,99.75,96.45833333333333,73.375,82.25,77.83333333333333,24.625,15.75,20.166666666666668,29.416666666666668,206.41666666666666,185.41666666666666,191.66666666666666,203.41666666666666,66.5,61.541666666666664,62.875,38.791666666666664,,1.0,15.375,,118.875,106.45833333333333,145.29166666666666,92.625
5,American Samoa,43.708333333333336,,,,,,,,,,,,85.5,,,,,39.041666666666664,,,,,,,,,,,,,,,,,,,,182.33333333333334,85.0,66.0,,,186.41666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,156.45833333333334,,,,123.375,,,,,162.91666666666666,94.75,175.5,32.25
6,Andorra,27.375,,1.0,1.0,1.0,1.0,1.0,1.0,,,159.33333333333334,,,,,,,9.208333333333334,,,,,,,,62.0,46.333333333333336,20.083333333333332,116.625,17.833333333333332,114.95833333333333,168.08333333333334,104.33333333333333,88.75,107.54166666666667,161.5,170.0,208.0,9.75,59.791666666666664,,,4.958333333333333,1.0,87.375,28.75,,,,,,,,,,,,,,,,,,,,,,,,22.666666666666668,,,,,11.166666666666666,197.25,12.625,28.0
7,Angola,185.0,2.375,176.33333333333334,147.625,152.20833333333334,246.125,238.5,231.58333333333334,30.625,53.875,78.20833333333333,170.16666666666666,88.70833333333333,7.5,,,13.083333333333334,151.33333333333334,174.20833333333334,183.5,156.33333333333334,165.58333333333334,160.75,134.66666666666666,152.91666666666666,228.125,169.75,166.54166666666666,160.25,144.54166666666666,91.70833333333333,155.375,144.25,101.16666666666667,144.08333333333334,114.20833333333333,22.541666666666668,198.45833333333334,247.875,,,166.25,209.33333333333334,220.95833333333334,218.70833333333334,174.45833333333334,142.45833333333334,90.0,135.04166666666666,70.75,93.79166666666667,92.58333333333333,184.70833333333334,169.0,178.66666666666666,35.458333333333336,39.916666666666664,39.958333333333336,62.541666666666664,58.083333333333336,58.041666666666664,68.75,169.875,177.0,185.95833333333334,206.0,42.083333333333336,41.541666666666664,41.75,260.0,74.58333333333333,101.16666666666667,100.125,69.45833333333333,253.25,24.416666666666668,254.04166666666666,120.08333333333333
8,Antigua and Barbuda,49.875,,1.0,1.0,1.0,33.375,9.208333333333334,40.833333333333336,,,181.04166666666666,,,,,,,47.041666666666664,,,,,17.583333333333332,44.583333333333336,27.25,42.916666666666664,10.666666666666666,6.791666666666667,35.625,16.875,72.375,38.291666666666664,,,32.916666666666664,92.70833333333333,42.0,202.0,83.375,,,10.625,66.875,23.958333333333332,136.0,62.958333333333336,,,,,,,,,,,,,,,,,,,,156.125,,,,130.45833333333334,,,,,48.625,165.91666666666666,89.91666666666667,234.79166666666666
9,Arab World,,,105.125,118.41666666666667,111.95833333333333,172.04166666666666,171.75,171.58333333333334,,24.291666666666668,,100.25,,,,,,,147.5,155.83333333333334,141.625,144.08333333333334,146.125,139.20833333333334,143.25,108.04166666666667,,,,,,,,,,,,,189.5,,,169.0,151.41666666666666,171.66666666666666,175.08333333333334,119.41666666666667,,,,98.0,44.208333333333336,29.708333333333332,115.20833333333333,92.79166666666667,99.83333333333333,,,,,,,,,,,181.83333333333334,,,,157.79166666666666,,,,,181.29166666666666,72.41666666666667,182.04166666666666,132.83333333333334
