,Feature,Importance
149,2023_Multidimensional poverty headcount ratio (World Bank) (% of population),0.7242571699838215
62,2022_Multidimensional poverty headcount ratio (World Bank) (% of population),0.7235862112313803
46,2022_Current health expenditure per capita (current US$),0.6809599319578072
133,2023_Current health expenditure per capita (current US$),0.6809599319578072
153,2023_People using safely managed drinking water services (% of population),0.6424736630454677
66,2022_People using safely managed drinking water services (% of population),0.6424736630454677
84,2022_Wanted fertility rate (births per woman),0.6160510325806806
171,2023_Wanted fertility rate (births per woman),0.6033383881481719
94,2023_Adequacy of social protection and labor programs (% of total welfare of beneficiary households),0.5718266239774812
7,2022_Adequacy of social protection and labor programs (% of total welfare of beneficiary households),0.5718266239774812
121,2023_Children out of school (% of primary school age),0.5673025371275313
148,2023_Multidimensional poverty headcount ratio (UNDP) (% of population),0.5364623334753702
61,2022_Multidimensional poverty headcount ratio (UNDP) (% of population),0.5364623334753702
71,"2022_School enrollment, secondary (gross), gender parity index (GPI)",0.5118769980667156
158,"2023_School enrollment, secondary (gross), gender parity index (GPI)",0.5118769980667156
140,"2023_International migrant stock, total",0.4916688037655682
53,"2022_International migrant stock, total",0.4916688037655682
78,2022_Unemployment with intermediate education (% of total labor force with intermediate education),0.45749552093616896
125,"2023_Children out of school, primary, female",0.45600018098603884
90,2023_Access to electricity (% of population),0.45074588405946975
3,2022_Access to electricity (% of population),0.45074588405946975
124,"2023_Children out of school, primary",0.4493180333934837
81,"2022_Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",0.44908566848244474
168,"2023_Wage and salaried workers, female (% of female employment) (modeled ILO estimate)",0.44908566848244474
97,2023_Adjusted net national income per capita (current US$),0.4336846262967341
10,2022_Adjusted net national income per capita (current US$),0.4336846262967341
38,"2022_Children out of school, primary, female",0.4265063686331355
126,"2023_Children out of school, primary, male",0.41371828869413835
37,"2022_Children out of school, primary",0.4058977375086977
122,"2023_Children out of school, female (% of female primary school age)",0.4039622244030282
39,"2022_Children out of school, primary, male",0.39172199205750713
151,2023_People using at least basic drinking water services (% of population),0.3823181139706589
64,2022_People using at least basic drinking water services (% of population),0.3823181139706589
123,"2023_Children out of school, male (% of male primary school age)",0.3651862679001491
34,2022_Children out of school (% of primary school age),0.3567185734785761
42,2022_Compensation of employees (current LCU),0.34595784752303904
129,2023_Compensation of employees (current LCU),0.3456768817516256
30,"2022_Children in employment, wage workers, male (% of male children in employment, ages 7-14)",0.34481107497569674
117,"2023_Children in employment, wage workers, male (% of male children in employment, ages 7-14)",0.34481107497569674
165,2023_Unemployment with intermediate education (% of total labor force with intermediate education),0.3283712512802569
131,2023_Control of Corruption: Estimate,0.3219100574808958
44,2022_Control of Corruption: Estimate,0.3219100574808958
92,"2023_Access to electricity, urban (% of urban population)",0.3198547389114684
5,"2022_Access to electricity, urban (% of urban population)",0.3198547389114684
139,2023_Expenditure on tertiary education (% of government expenditure on education),0.30411334647192895
52,2022_Expenditure on tertiary education (% of government expenditure on education),0.30411334647192895
24,"2022_Children in employment, study and work (% of children in employment, ages 7-14)",0.30136759787559847
111,"2023_Children in employment, study and work (% of children in employment, ages 7-14)",0.30136759787559847
118,"2023_Children in employment, work only (% of children in employment, ages 7-14)",0.3013365769997846
31,"2022_Children in employment, work only (% of children in employment, ages 7-14)",0.3013365769997846
160,2023_Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),0.27711222137590413
104,"2023_Age dependency ratio, old (% of working-age population)",0.27680848503884
15,"2022_Adolescents out of school, male (% of male lower secondary school age)",0.26081304869655847
88,"2023_Access to clean fuels and technologies for cooking, rural (% of rural population)",0.251154697960844
1,"2022_Access to clean fuels and technologies for cooking, rural (% of rural population)",0.251154697960844
164,2023_Unemployment with basic education (% of total labor force with basic education),0.24866603057573727
115,"2023_Children in employment, wage workers (% of children in employment, ages 7-14)",0.24455710720435886
28,"2022_Children in employment, wage workers (% of children in employment, ages 7-14)",0.24455710720435886
73,2022_Teenage mothers (% of women ages 15-19 who have had children or are currently pregnant),0.23886566034257906
41,2022_Compensation of employees (% of expense),0.23469933575782345
128,2023_Compensation of employees (% of expense),0.23469933575782345
102,"2023_Adolescents out of school, male (% of male lower secondary school age)",0.23252491117057902
17,"2022_Age dependency ratio, old (% of working-age population)",0.22950217096708309
68,2022_Pregnant women receiving prenatal care (%),0.22915201049817518
155,2023_Pregnant women receiving prenatal care (%),0.22915201049817518
54,"2022_Literacy rate, adult female (% of females ages 15 and above)",0.22458261941751745
141,"2023_Literacy rate, adult female (% of females ages 15 and above)",0.22458079336936754
0,2022_Access to clean fuels and technologies for cooking (% of population),0.22106085705455203
87,2023_Access to clean fuels and technologies for cooking (% of population),0.22106085705455203
50,2022_Expenditure on primary education (% of government expenditure on education),0.2157554022621326
137,2023_Expenditure on primary education (% of government expenditure on education),0.2157554022621326
35,"2022_Children out of school, female (% of female primary school age)",0.21100228312713612
159,"2023_School enrollment, tertiary (gross), gender parity index (GPI)",0.19291787349975373
4,"2022_Access to electricity, rural (% of rural population)",0.18619894832276893
91,"2023_Access to electricity, rural (% of rural population)",0.18619894832276893
77,2022_Unemployment with basic education (% of total labor force with basic education),0.18584279478565582
56,"2022_Literacy rate, adult total (% of people ages 15 and above)",0.18164460395741575
143,"2023_Literacy rate, adult total (% of people ages 15 and above)",0.1816052960220156
80,2022_Urban population (% of total population),0.1735189112616025
136,"2023_Employers, total (% of total employment) (modeled ILO estimate)",0.1697160090032405
49,"2022_Employers, total (% of total employment) (modeled ILO estimate)",0.1697160090032405
72,"2022_School enrollment, tertiary (gross), gender parity index (GPI)",0.16716321372868254
22,"2022_Cause of death, by injury (% of total)",0.16425493132966024
109,"2023_Cause of death, by injury (% of total)",0.16425493132966024
167,2023_Urban population (% of total population),0.16351262572722094
95,2023_Adequacy of social safety net programs (% of total welfare of beneficiary households),0.16225106964848565
8,2022_Adequacy of social safety net programs (% of total welfare of beneficiary households),0.16225106964848565
154,2023_Political Stability and Absence of Violence/Terrorism: Estimate,0.16195831027996482
67,2022_Political Stability and Absence of Violence/Terrorism: Estimate,0.16195831027996482
9,2022_Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),0.15581406821263385
96,2023_Adequacy of unemployment benefits and ALMP (% of total welfare of beneficiary households),0.15581406821263385
36,"2022_Children out of school, male (% of male primary school age)",0.15538664543693614
146,"2023_Literacy rate, youth male (% of males ages 15-24)",0.15187931002545985
59,"2022_Literacy rate, youth male (% of males ages 15-24)",0.1514614888971759
69,2022_Proportion of people living below 50 percent of median income (%),0.14564732302039982
55,"2022_Literacy rate, adult male (% of males ages 15 and above)",0.14375969158933796
142,"2023_Literacy rate, adult male (% of males ages 15 and above)",0.14366364601762352
74,2022_Terms of trade adjustment (constant LCU),0.13975553108369873
